Pathway,Size,Matrix_count,pval,qval
Mitochondrial central dogma > Translation > Mitochondrial ribosome,83,82,2.9251198257117883e-32,5.118959694995629e-30
Mitochondrial central dogma > Translation > mt-tRNA synthetases,22,22,2.0963181158655134e-09,3.6685567027646484e-07
Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,21,21,5.243666958315654e-09,9.176417177052396e-07
Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,18,18,8.166408719224996e-08,1.4291215258643744e-05
Mitochondrial central dogma > mtRNA metabolism > mtRNA granules,27,24,2.3000897729317475e-07,4.0251571026305584e-05
Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,25,22,1.1389892223221337e-06,0.0001993231139063734
Mitochondrial central dogma > mtDNA maintenance > mtDNA replication,14,13,6.84247903060039e-05,0.011974338303550682
Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,19,16,0.00011873924470150621,0.020779367822763586
Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,18,15,0.0002504158159306155,0.04382276778785771
Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,23,18,0.0002544218515079378,0.044523824013889116
Mitochondrial central dogma > Translation > Translation factors,15,13,0.00032192423834503876,0.056336741710381784
Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,12,11,0.00036374533630722155,0.06365543385376377
Metabolism > Vitamin metabolism > Folate and 1-C metabolism,20,16,0.00037056708552041543,0.0648492399660727
Metabolism > Carbohydrate metabolism > TCA cycle,20,16,0.00037056708552041543,0.0648492399660727
Mitochondrial central dogma > mtRNA metabolism > Transcription,8,8,0.0007306860257358923,0.12787005450378114
Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,21,16,0.0009726382451794167,0.17021169290639793
Metabolism > Amino acid metabolism > Lysine metabolism,13,11,0.001493971091023656,0.2614449409291398
Metabolism > Amino acid metabolism > GABA metabolism,7,7,0.0018070729668737116,0.31623776920289953
Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,9,8,0.004214457137020448,0.7375299989785785
Metabolism > Carbohydrate metabolism > Itaconate metabolism,6,6,0.0044655319892812125,0.7814680981242121
Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,11,9,0.006601483303253498,1.1552595780693622
Metabolism > Amino acid metabolism > Glycine metabolism,11,9,0.006601483303253498,1.1552595780693622
Metabolism > Lipid metabolism > Type II fatty acid synthesis,8,7,0.009341781554838448,1.6348117720967283
Mitochondrial central dogma > Translation,8,7,0.009341781554838448,1.6348117720967283
Metabolism > Lipid metabolism > Fatty acid oxidation,40,24,0.00983428517775612,1.7209999061073211
Metabolism > Amino acid metabolism > Proline metabolism,5,5,0.011026152713479885,1.92957672485898
Metabolism > Carbohydrate metabolism > Pyruvate metabolism,16,11,0.021415761670614476,3.7477582923575334
Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications,4,4,0.027203747591624392,4.760655828534269
Metabolism > Vitamin metabolism > Vitamin B12 metabolism,4,4,0.027203747591624392,4.760655828534269
Mitochondrial central dogma > mtDNA maintenance,4,4,0.027203747591624392,4.760655828534269
Metabolism > Lipid metabolism > Lipoate insertion,4,4,0.027203747591624392,4.760655828534269
OXPHOS > Complex II > CII assembly factors,4,4,0.027203747591624392,4.760655828534269
Metabolism > Carbohydrate metabolism > Propanoate metabolism,4,4,0.027203747591624392,4.760655828534269
Metabolism > Amino acid metabolism > Glycine cleavage system,4,4,0.027203747591624392,4.760655828534269
Metabolism > Carbohydrate metabolism > Ketone metabolism,8,6,0.05363979983038953,9.386964970318168
Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,14,9,0.06389200794890737,11.181101391058789
Metabolism > Vitamin metabolism > Choline and betaine metabolism,3,3,0.06706378416972644,11.736162229702128
Metabolism > Metals and cofactors > Fe-S-containing proteins,29,16,0.07988809974791886,13.9804174558858
Metabolism > Detoxification > Xenobiotic metabolism,23,13,0.09039103447410109,15.81843103296769
Metabolism > Vitamin metabolism > Biotin utilizing proteins,5,4,0.09191412710420241,16.08497224323542
Metabolism > Amino acid metabolism,5,4,0.09191412710420241,16.08497224323542
sorting and homeostasis > Protein homeostasis > Proteases,21,12,0.09392339592446558,16.436594286781478
Metabolism > Amino acid metabolism > Urea cycle,7,5,0.10236168186134077,17.913294325734636
Metabolism > Amino acid metabolism > Glyoxylate metabolism,7,5,0.10236168186134077,17.913294325734636
sorting and homeostasis > Protein homeostasis > Chaperones,9,6,0.10634456545676567,18.61029895493399
Metabolism > Detoxification > ROS and glutathione metabolism,27,14,0.15974359690266965,27.95512945796719
Metabolism > Vitamin metabolism > Vitamin B6 metabolism,2,2,0.16519717195346498,28.90950509185637
Metabolism > Vitamin metabolism > Vitamin C metabolism,2,2,0.16519717195346498,28.90950509185637
sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,2,2,0.16519717195346498,28.90950509185637
Mitochondrial central dogma > mtRNA metabolism,2,2,0.16519717195346498,28.90950509185637
Mitochondrial central dogma > Translation > fMet processing | Protein import,2,2,0.16519717195346498,28.90950509185637
