HumanGeneID,MouseOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID_mapping_version_20200130,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,hg19_Chromosome,hg19_Start,hg19_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability)
1537,66445.0,CYC1,MC3DN6|UQCR4,cytochrome c1,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,Tmito,43.6442,0.0,1.0,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000179091,P08574,325,2.0,MitoDomain,49.0,1.24,OrthologMitoHighConf,Ortholog,50-75pure,chr8,145149937.0,145152430.0,14.0,19.0,2616.0,205000000000.0,50.0,all 14,10.3,10.1,10.4,10.2,10.2,10.0,10.4,9.8,10.1,10.2,10.2,10.0,10.0,9.8,Mitochondria (Supported)
6390,67680.0,SDHB,CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP,succinate dehydrogenase complex iron sulfur subunit B,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,43.2272,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000117118,P21912,280,1.0,MitoDomain,49.0,2.32,HomologMitoHighConf,Ortholog,75-100pure,chr1,17345224.0,17380665.0,14.0,34.0,1571.0,150000000000.0,82.0,all 14,9.9,9.6,9.9,10.0,10.1,10.2,10.3,9.2,10.1,10.3,9.9,9.9,10.1,9.9,Mitochondria (Supported)
10229,12850.0,COQ7,CAT5|CLK-1|CLK1|COQ10D8,"coenzyme Q7, hydroxylase",MitoCarta3.0,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,Tmito,43.1028,0.0,1.0,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",ENSG00000167186,Q99807,217,1.0,MitoDomain,49.0,,OrthologMitoHighConf,Ortholog,75-100pure,chr16,19078916.0,19091417.0,14.0,14.0,366.0,7270000000.0,81.0,all 14,8.7,8.5,8.7,8.5,8.9,9.0,8.6,8.7,8.8,8.6,9.0,8.7,8.3,8.3,Plasma membrane (Approved)
6389,66945.0,SDHA,CMD1GG|FP|PGL5|SDH1|SDH2|SDHF,succinate dehydrogenase complex flavoprotein subunit A,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,Tmito,42.9701,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSG00000073578,P31040,664,1.0,SharedDomain,47.0,1.8,OrthologMitoHighConf,Ortholog,75-100pure,chr5,218355.0,256814.0,14.0,48.0,4919.0,529000000000.0,83.0,all 14,10.4,9.9,10.5,10.3,11.0,10.5,10.7,10.6,10.6,10.7,10.6,10.5,10.4,10.4,Mitochondria (Supported)
7384,22273.0,UQCRC1,D3S3191|QCR1|UQCR1,ubiquinol-cytochrome c reductase core protein 1,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",Tmito,42.9037,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000010256,P31930,480,1.0,MitoDomain,49.0,1.55,OrthologMitoLowConf,Homolog,50-75pure,chr3,48636431.0,48647098.0,14.0,32.0,3377.0,256000000000.0,60.0,all 14,10.1,9.5,9.9,9.9,10.4,10.0,10.8,10.3,10.1,10.6,10.2,10.3,10.2,9.9,Mitochondria (Supported)
84274,52064.0,COQ5,-,"coenzyme Q5, methyltransferase",MitoCarta3.0,"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,Tmito,42.6477,0.0,1.0,"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000110871,Q5HYK3,327,2.0,MitoDomain,41.0,2.95,OrthologMitoHighConf,Homolog,50-75pure,chr12,120941081.0,120966964.0,14.0,16.0,132.0,5760000000.0,65.0,all 14,8.5,8.3,8.3,8.0,8.6,8.0,8.8,8.2,9.0,9.2,8.8,8.3,7.8,7.5,Nucleoli (Uncertain)
5160,18597.0,PDHA1,PDHA|PDHAD|PDHCE1A|PHE1A,pyruvate dehydrogenase E1 subunit alpha 1,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Tmito,42.5705,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000131828,P08559,428,1.0,MitoDomain,45.0,1.13,OrthologMitoLowConf,Homolog,75-100pure,chrX,19362010.0,19379825.0,14.0,43.0,2251.0,148000000000.0,82.0,all 14,10.1,9.6,10.0,10.0,10.3,9.6,10.5,10.0,10.1,9.9,9.6,10.0,9.9,8.9,Mitochondria (Supported)
57017,67914.0,COQ9,C16orf49|COQ10D5,coenzyme Q9,MitoCarta3.0,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,Tmito,42.301,0.0,1.0,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",ENSG00000088682,O75208,318,1.0,MitoDomain,28.0,1.8,OrthologMitoHighConf,Ortholog,50-75pure,chr16,57481336.0,57495187.0,14.0,18.0,379.0,22400000000.0,50.0,all 14,9.3,8.6,8.9,9.0,9.3,9.1,9.8,8.6,9.5,9.2,9.2,9.1,8.7,8.8,
6182,56282.0,MRPL12,5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12,mitochondrial ribosomal protein L12,MitoCarta3.0,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,42.0393,0.0,1.0,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSG00000262814,P52815,198,1.0,SharedDomain,42.0,1.98,OrthologMitoHighConf,Ortholog,50-75pure,chr17,79670399.0,79674556.0,14.0,14.0,634.0,27700000000.0,66.0,all 14,9.2,9.1,9.4,9.0,9.5,9.3,8.9,8.6,9.3,9.2,9.8,9.0,9.4,9.0,Mitochondria (Supported)
513,66043.0,ATP5F1D,ATP5D|MC5DN5,ATP synthase F1 subunit delta,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,Tmito,42.0165,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",ENSG00000099624,P30049,168,2.0,MitoDomain,49.0,1.75,OrthologMitoHighConf,Ortholog,25-50pure,chr19,1241748.0,1244824.0,14.0,6.0,939.0,142000000000.0,43.0,all 14,10.1,9.9,10.3,9.8,10.6,9.8,9.8,9.5,9.8,10.1,10.0,9.8,9.8,9.6,
