Symbol,SubMitoLocalization_raw,MitoPathway_raw,SubMitoLocalization,MitoPathway
CYC1,MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex III > CIII subunits
CYC1,MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,MIM,Metabolism > Metals and cofactors > Heme-containing proteins
CYC1,MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,MIM,Metabolism > Electron carriers > Cytochromes
CYC1,MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
SDHB,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex II > CII subunits
SDHB,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Carbohydrate metabolism > TCA cycle
SDHB,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Metals and cofactors > Fe-S-containing proteins
SDHB,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
COQ7,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism
SDHA,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex II > CII subunits
SDHA,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,MIM,Metabolism > Carbohydrate metabolism > TCA cycle
SDHA,MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
UQCRC1,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",MIM,Protein import
UQCRC1,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",MIM,sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
COQ5,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism
PDHA1,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
COQ9,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL12,Matrix,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > mtRNA metabolism > Transcription
MRPL12,Matrix,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ATP5F1D,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex V > CV subunits
ATP5F1D,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
COX5A,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex IV > CIV subunits
COX5A,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
ISCA2,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
ISCA2,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S-containing proteins
PMPCB,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,Protein import
PMPCB,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import
PMPCB,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,sorting and homeostasis > Protein homeostasis > Proteases
